v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains although,v13 contains however,v14 contains but,v15 contains because,v16 contains this,v17 contains others or researchers,v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains et,word variation,average token length,non alphabetic characters frequency,uncommon word frequency,non-alphabetic characters frequency,numeric value frequency,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_pp,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
5,173,False,False,True,False,True,16.230834852218784,27.75,False,True,False,False,True,True,False,False,False,False,False,0.6127167630057804,3.8554913294797686,0.0924855491329479,0.5202312138728323,0.0924855491329479,0.0,0.0,0.0,0.0,0.0,0.0462427745664739,0.0289017341040462,0.0115606936416184,0.0462427745664739,0.0173410404624277,0.1560693641618497,0.0,0.0,0.1676300578034682,0.0462427745664739,0.0057803468208092,0.0057803468208092,0.0,0.0,0.1329479768786127,0.0173410404624277,0.0,0.0462427745664739,0.0,0.0057803468208092,0.0346820809248554,0.0115606936416184,0.0520231213872832,0.0057803468208092,0.0,0.0,0.0,0.0057803468208092,0.0,0.0115606936416184,0.0693641618497109,0.0289017341040462,0.0289017341040462,0.0,0.0057803468208092,0.0115606936416184,0.0,0.0,0.0,0.0
22,279,False,True,True,False,True,8.12060434179828,7.857142857142857,True,False,False,False,True,False,True,False,False,True,False,0.5125448028673835,3.4802867383512543,0.1863799283154122,0.6093189964157706,0.1863799283154122,0.0,0.0,0.0,0.0,0.0,0.03584229390681,0.075268817204301,0.025089605734767,0.021505376344086,0.0,0.0931899641577061,0.0,0.0,0.1003584229390681,0.053763440860215,0.0,0.0,0.0,0.010752688172043,0.1397849462365591,0.060931899641577,0.003584229390681,0.017921146953405,0.0,0.007168458781362,0.0967741935483871,0.021505376344086,0.010752688172043,0.0,0.0,0.003584229390681,0.0,0.021505376344086,0.007168458781362,0.032258064516129,0.032258064516129,0.010752688172043,0.025089605734767,0.028673835125448,0.039426523297491,0.0,0.007168458781362,0.0,0.014336917562724,0.003584229390681
2,49,False,True,False,False,True,11.5,23.0,False,True,False,False,False,False,True,False,False,True,False,0.8775510204081632,3.1020408163265305,0.2244897959183673,0.5510204081632653,0.2244897959183673,0.0,0.0,0.0204081632653061,0.0,0.0,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0,0.1020408163265306,0.0,0.0,0.1224489795918367,0.0204081632653061,0.0,0.0,0.0,0.0204081632653061,0.1836734693877551,0.0204081632653061,0.0,0.0612244897959183,0.0,0.0,0.1224489795918367,0.0204081632653061,0.0408163265306122,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0204081632653061,0.0816326530612244,0.0,0.0,0.0204081632653061,0.0,0.0,0.0204081632653061,0.0,0.0204081632653061,0.0
2,22,False,False,True,True,True,5.0,10.0,True,False,False,False,False,False,False,False,False,True,False,0.9090909090909092,3.136363636363636,0.4090909090909091,0.5909090909090909,0.4090909090909091,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0,0.0,0.0454545454545454,0.0,0.0,0.1363636363636363,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1363636363636363,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0,0.0909090909090909,0.0454545454545454,0.0,0.0909090909090909,0.0,0.0,0.0
1,32,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,0.84375,3.28125,0.28125,0.625,0.28125,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.03125,0.0,0.09375,0.0,0.0,0.09375,0.0625,0.0,0.0,0.0,0.0,0.15625,0.03125,0.0,0.03125,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.03125,0.03125,0.03125,0.0,0.09375,0.0625,0.0,0.03125,0.0,0.0,0.0
2,38,False,False,False,False,False,4.0,8.0,False,False,False,False,False,False,True,False,False,False,False,0.868421052631579,4.0,0.1052631578947368,0.6052631578947368,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0263157894736842,0.0,0.0789473684210526,0.0,0.0,0.0789473684210526,0.0263157894736842,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0526315789473684,0.0,0.0,0.1578947368421052,0.0526315789473684,0.0789473684210526,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0789473684210526,0.0526315789473684,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0263157894736842,0.0
2,12,False,False,False,True,False,2.0,4.0,True,False,False,False,False,False,False,False,False,False,False,0.9166666666666666,3.083333333333333,0.3333333333333333,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0
3,35,False,False,True,False,False,3.2998316455372216,5.5,True,False,False,False,False,False,False,False,False,True,False,0.9428571428571428,3.7142857142857135,0.2285714285714285,0.8,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0571428571428571,0.0285714285714285,0.0571428571428571,0.0,0.0571428571428571,0.0,0.0,0.0285714285714285,0.1142857142857142,0.0,0.0,0.0,0.0285714285714285,0.2285714285714285,0.0285714285714285,0.0,0.0285714285714285,0.0285714285714285,0.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0857142857142857,0.0,0.0571428571428571,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0
1,35,False,False,False,False,False,0.0,0.0,False,True,False,False,False,False,True,False,False,True,False,0.8857142857142857,3.8857142857142857,0.0857142857142857,0.4857142857142857,0.0857142857142857,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0285714285714285,0.0,0.0285714285714285,0.0,0.1142857142857142,0.0,0.0,0.2,0.0285714285714285,0.0,0.0,0.0,0.0,0.1428571428571428,0.0571428571428571,0.0,0.0285714285714285,0.0285714285714285,0.0,0.0571428571428571,0.0,0.0285714285714285,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.1142857142857142,0.0,0.0,0.0,0.0,0.0285714285714285,0.0285714285714285,0.0,0.0,0.0
5,45,False,False,True,False,False,3.9496835316263,6.0,True,False,False,False,False,False,False,False,False,True,False,0.6888888888888889,3.422222222222222,0.2666666666666666,0.6444444444444445,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0444444444444444,0.0666666666666666,0.0222222222222222,0.0666666666666666,0.0,0.0444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0222222222222222,0.0,0.0,0.0,0.0666666666666666,0.1777777777777777,0.0,0.0,0.0,0.0,0.0888888888888888,0.0222222222222222,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0222222222222222,0.0888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
