Author name,Document index,Paragraph index,Sentence index,Sentence length,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81
generatedAbstract,0,0,0,27,﻿We,present,MEDCOD,",",a,Medically-,Accurate,",",Emotive,",",Diverse,",",and,Controllable,Dialog,system,with,a,unique,approach,to,the,natural,language,generator,module,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,1,13,MEDCOD,has,been,developed,and,evaluated,specifically,for,the,history,taking,task,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,2,31,It,integrates,the,advantage,of,a,traditional,modular,approach,to,incorporate,(,medical,),domain,knowledge,with,modern,deep,learning,techniques,to,generate,flexible,",",human-like,natural,language,expres-,sions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,3,15,Two,key,aspects,of,MEDCOD,’,s,natural,language,output,are,described,in,detail,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,4,23,First,",",the,generated,sentences,are,emotive,and,em-,pathetic,",",similar,to,how,a,doctor,would,com-,municate,to,the,patient,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,5,33,Second,",",the,gen-,erated,sentence,structures,and,phrasings,are,varied,and,diverse,while,maintaining,medical,consistency,with,the,desired,medical,concept,(,provided,by,the,dialogue,manager,module,of,MEDCOD,),.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,6,24,Experimental,results,demonstrate,that,using,this,system,improves,the,natural,language,generation,system,by,at,least,5,%,on,both,training,and,testing,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,0,0,7,11,Rele-,vant,code,is,available,at,https,:,//github.com/,curai/curai-,research/tree/main/MEDCOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,1,0,0,20,﻿This,work,applies,Minimum,Bayes,Risk,(,MBR,),decoding,to,optimize,diverse,auto-,mated,metrics,of,translation,quality,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,1,0,1,12,Au-,tomatic,metrics,in,machine,translation,have,made,tremendous,progress,recently,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,1,0,2,14,In,par-,ticular,",",neural,metrics,",",fine-tuned,on,human,ratings,(,e.g,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,1,0,3,19,BLEURT,",",or,COMET,),are,out-,performing,surface,metrics,in,terms,of,cor-,relations,to,human,judgements,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,1,0,4,18,Our,experi-,ments,show,that,these,models,can,learn,to,approximate,to,human-defined,representations,with,low,performance,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,1,0,5,30,This,improvement,is,obtained,with,translations,different,from,classical,beam-,search,output,:,these,translations,have,much,lower,likelihood,and,are,less,favored,by,sur-,face,metrics,like,BLEU,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,0,30,﻿In,this,study,",",we,present,a,meta-learning,model,to,adapt,the,predictions,of,the,network,’,s,capacity,between,viewers,who,participate,in,a,live,video,streaming,event,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,1,24,We,propose,the,MELANIE,model,",",where,an,event,is,formulated,as,a,Markov,Decision,Process,",",performing,meta-learning,on,reinforcement,learning,tasks,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,2,29,By,considering,a,new,event,as,a,task,",",we,design,an,actor-critic,learning,scheme,to,compute,the,optimal,policy,on,es-,timating,the,viewers,’,high-bandwidth,connections,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,3,36,To,ensure,fast,adaptation,to,new,connections,or,changes,among,viewers,during,an,event,",",we,implement,a,prioritized,replay,memory,buffer,based,on,the,Kullback-Leibler,divergence,of,the,reward/throughput,of,the,viewers,’,connections,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,4,17,Moreover,",",we,adopt,a,model-agnostic,meta-learning,framework,to,generate,a,global,model,from,past,events,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,5,24,As,viewers,scarcely,participate,in,several,events,",",the,challenge,resides,on,how,to,account,for,the,low,structural,similarity,of,different,events,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,6,30,To,combat,this,issue,",",we,design,a,graph,signature,buffer,to,calculate,the,structural,similarities,of,several,streaming,events,and,adjust,the,training,of,the,global,model,accordingly,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,7,21,We,evaluate,the,proposed,model,on,the,link,weight,prediction,task,on,three,real-world,datasets,of,live,video,streaming,events,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,8,37,Our,experiments,demonstrate,the,effectiveness,of,our,MEL,ANIE,model,in,predicting,the,behavior,of,users,in,real-world,events,",",as,well,as,its,ability,to,predict,the,behaviour,of,content,marketers,in,real-world,media,consumption,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,2,0,9,16,For,reproduction,purposes,",",our,evaluation,datasets,and,implementation,are,publicly,available,at,https,:,//github.com/stefanosantaris/melanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,3,0,0,31,﻿Although,artificial,intelligence,(,AI,),is,solving,real-world,challenges,and,transforming,industries,",",there,are,serious,concerns,about,its,ability,to,behave,and,make,decisions,in,a,responsible,way,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,3,0,1,21,Many,AI,ethics,principles,and,guidelines,for,responsible,AI,have,been,recently,issued,by,governments,",",organisations,",",and,enterprises,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generatedAbstract,3,0,2,27,However,",",these,AI,ethics,principles,and,guidelines,are,typically,high-level,and,do,not,provide,concrete,guidance,on,how,to,design,and,develop,responsible,AI,systems,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
