Author name,Document index,Paragraph index,Sentence index,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68
Bush,0,0,0,Mr,.,Chief,Justice,",",Mr,.,President,",",Vice,President,Quayle,",",Senator,Mitchell,",",Speaker,Wright,",",Senator,Dole,",",Congressman,Michael,",",and,fellow,citizens,",",neighbors,",",and,friends,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,1,0,There,is,a,man,here,who,has,earned,a,lasting,place,in,our,hearts,and,in,our,history,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,1,1,President,Reagan,",",on,behalf,of,our,Nation,",",I,thank,you,for,the,wonderful,things,that,you,have,done,for,America,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,2,0,I,have,just,repeated,word,for,word,the,oath,taken,by,George,Washington,200,years,ago,",",and,the,Bible,on,which,I,placed,my,hand,is,the,Bible,on,which,he,placed,his,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,2,1,It,is,right,that,the,memory,of,Washington,be,with,us,today,",",not,only,because,this,is,our,Bicentennial,Inauguration,",",but,because,Washington,remains,the,Father,of,our,Country,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,2,2,And,he,would,",",I,think,",",be,gladdened,by,this,day,;,for,today,is,the,concrete,expression,of,a,stunning,fact,:,our,continuity,these,200,years,since,our,government,began,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,3,0,We,meet,on,democracy,',s,front,porch,",",a,good,place,to,talk,as,neighbors,and,as,friends,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,3,1,For,this,is,a,day,when,our,nation,is,made,whole,",",when,our,differences,",",for,a,moment,",",are,suspended,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,4,0,And,my,first,act,as,President,is,a,prayer,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,4,1,I,ask,you,to,bow,your,heads,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,5,0,Heavenly,Father,",",we,bow,our,heads,and,thank,You,for,Your,love,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,5,1,Accept,our,thanks,for,the,peace,that,yields,this,day,and,the,shared,faith,that,makes,its,continuance,likely,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,0,5,2,Make,us,strong,to,do,Your,work,",",willing,to,heed,and,hear,Your,will,",",and,write,on,our,hearts,these,words,:,"""",Use,power,to,help,people,".""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
