Author name,Document name,Paragraph number,Sentence number,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99,Word 100,Word 101,Word 102,Word 103,Word 104,Word 105,Word 106,Word 107,Word 108,Word 109,Word 110,Word 111,Word 112,Word 113,Word 114,Word 115,Word 116,Word 117,Word 118,Word 119,Word 120,Word 121,Word 122,Word 123,Word 124,Word 125,Word 126,Word 127,Word 128,Word 129,Word 130,Word 131,Word 132
original,2110.09779_original.txt,1,1,Conclusion,We,introduce,a,question,generation,framework,ca-,pable,of,producing,open-domain,clarification,ques-,tions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,2,Instead,of,relying,on,specialized,question-,answer,training,data,or,pre-specified,question,meanings,",",our,model,uses,a,pretrained,image,cap-,tioner,in,conjunction,with,expected,information,gain,to,produce,informative,questions,for,unseen,images,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,3,We,demonstrate,the,effectiveness,of,this,method,in,a,question-driven,communication,game,with,synthetic,and,human,answerers,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,4,We,found,it,important,to,generate,questions,varying,in,speci-,ficity,by,decomposing,captioner,utterances,into,component,noun,phrases,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,5,Having,generated,this,set,of,potential,questions,",",selecting,based,on,esti-,mated,information,gain,yielded,useful,questions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,6,Without,seeing,question,examples,",",our,framework,demonstrates,a,capacity,for,generating,effective,clarification,questions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,7,Future,research,should,aim,to,generate,more,diverse,question,sets,",",allow,for,more,expressive,answers,",",and,address,abstract,properties,of,objects,within,images,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,8,One,approach,",",as,demonstrated,by,our,preliminary,work,with,‘,what,’,-questions,",",would,be,to,extend,our,framework,to,incorporate,additional,types,of,wh-questions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.09779_original.txt,1,9,Integrating,this,clarification,capacity,more,fully,into,collaborative,",",goal-directed,dialog,agents,will,allow,them,to,en-,gage,in,cooperative,repair,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,2110.10319_original.txt,1,1,Conclusion,We,proposed,a,method,to,learn,socially,sensitive,contextualized,representations,from,large-scale,language,models,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
